Gender,Height,Weight
Female,170.3779602,65.70195007
Male,171.600235,87.52415466
Male,171.1414337,77.11131287
Male,172.5574493,82.74733734
Female,175.4702148,74.22223663
Male,182.6101074,92.17943573
Male,189.4045715,106.5076523
Male,180.759491,88.0243988
Female,150.1374817,47.57143784
Female,166.270401,64.35800934
Female,143.6318512,38.49734879
Female,158.8864746,59.87702179
Male,179.800354,93.70626831
Female,168.4530029,69.246521
Female,157.3890076,51.18042755
Female,154.4517365,51.00026703
Female,165.9220123,66.15748596
Female,162.2248688,57.53123856
Female,152.8504791,44.7899971
Male,176.4666901,83.06401062
Male,170.6783142,80.26350403
Female,170.8842163,70.59829712
Male,171.8889008,83.34304047
Male,185.2202759,97.03451538
Male,182.5840912,96.09431458
Female,151.6601715,52.13437653
Female,151.4442291,48.70458984
Female,173.2129974,77.49241638
Female,154.3811951,51.65393829
Male,185.9355469,92.08973694
Male,181.10112,90.38838196
Female,168.7049255,67.22676086
Female,152.5936584,63.08771515
Female,154.7114563,54.55444717
Female,166.042572,61.90232086
Male,170.1207428,87.91698456
Female,157.1529541,56.71985245
Male,170.9586945,78.04747009
Male,163.5970154,70.14399719
Female,155.2164001,53.87729645
Male,165.1788177,70.2347641
Female,162.9710236,71.62632751
Male,173.1419067,89.43914795
Male,177.8627777,86.14261627
Female,160.5663147,63.21123505
Female,158.4263763,61.562603
Male,148.3535309,55.03813553
Female,162.8663483,56.87612534
Female,152.9843903,43.51480865
Male,185.0930023,100.5871277
Male,167.2716064,70.29112244
Male,182.3517303,89.54685211
Female,166.8346863,65.42443848
Female,165.2786865,61.5096283
Male,178.5334015,87.42445374
Female,163.7921295,60.47410583
Female,159.9559479,62.35741425
Female,169.3514099,67.32631683
Female,158.1558533,60.93010712
Female,170.3808441,76.15524292
Female,164.1329193,63.23841858
Male,182.556366,87.60595703
Female,149.2313232,48.46455002
Female,162.1883698,66.9815979
Male,180.2116547,84.35532379
Male,174.6591949,80.32367706
Female,163.4833374,70.56695557
Female,161.6593781,66.76493073
Female,144.1240234,46.96517563
Female,167.143692,63.26852036
Male,180.2949677,83.34446716
Male,178.1641998,82.93128967
Female,168.9987946,74.19024658
Male,181.3776398,93.26718903
Female,154.5884705,50.03277588
Female,160.4621887,61.20372772
Male,179.2072754,82.40862274
Female,163.9996643,62.33794403
Male,164.2645264,72.66029358
Male,198.3635101,115.9794083
Male,168.9095459,73.76515198
Male,176.6620941,89.8473587
Female,157.7845459,53.45469284
Male,169.6847687,79.07724762
Female,158.3069153,65.74473572
Male,172.9558563,79.44924164
Male,173.9960175,87.3520813
Male,173.7559357,80.33608246
Male,165.6420135,72.05397034
Male,173.3409271,78.97483063
Female,161.4491577,59.78159714
Male,165.7443237,79.35325623
Male,162.7336426,66.76752472
Male,182.7322693,90.11641693
Female,144.7168427,40.44676208
Female,165.0068207,64.50373077
Male,161.5884247,76.63211823
Male,168.0755615,68.04949951
Female,155.25,56.06308746
Female,169.0069275,73.09351349
Male,164.7654114,74.02545929
Female,158.2960358,63.19491196
Female,168.6016235,69.60241699
Female,164.5679932,64.65206909
Female,147.7159576,43.39920425
Female,166.4833374,64.72927856
Female,161.8677673,63.51440048
Female,156.4454193,53.59526443
Female,170.2940979,63.8728447
Female,168.3314972,64.83919525
Female,161.490921,65.34229279
Male,172.7266083,87.95678711
Female,154.1505737,56.95741272
Female,153.9406281,52.36151123
Female,158.0007935,55.75461197
Male,165.4731445,69.53409576
Female,164.1607056,70.40697479
Female,161.7122955,62.17814255
Male,177.7235107,92.20430756
Male,173.0898743,89.57402802
Male,177.7915192,89.13441467
Male,171.4788513,79.8710022
Female,176.2245331,80.60338593
Female,148.302887,45.75671005
Male,173.9439697,77.27051544
Male,183.0393982,94.70185852
Male,179.7853699,95.03300476
Female,161.2039337,60.03832245
Male,167.1033783,79.19036865
Female,165.7967987,61.91921616
Female,166.0238953,66.19213104
Male,184.6966705,94.00547028
Male,168.3183289,74.22501373
Female,158.0767517,55.07756805
Male,172.4202881,82.12117767
Female,158.0169525,57.1533165
Male,177.6022491,82.43217468
Female,166.7665558,62.08862305
Male,188.1964722,98.75274658
Male,170.8050079,76.33065796
Female,175.2735138,80.21007538
Male,172.4641876,84.54113007
Female,156.2864838,48.21882629
Male,177.3225403,85.30484009
Female,163.256073,66.17745972
Female,151.3983002,49.61930466
Female,168.5020447,73.02161407
Male,167.676651,83.67047119
Male,168.728775,79.93123627
Male,176.4545746,83.14148712
Female,158.3321991,57.2938118
Male,176.6811981,89.44307709
Female,170.737854,78.10542297
Female,164.8097992,59.24635315
Female,158.4335632,61.17641449
Male,186.5070496,101.2376022
Male,186.1338348,91.35668945
Female,163.9099579,65.35745239
Male,173.4084625,78.44483185
Female,170.0373383,76.48646545
Female,160.0028076,63.23462677
Female,159.0971527,46.65359116
Female,156.5955048,58.52622604
Male,180.869751,92.64269257
Female,159.6401367,57.8415947
Male,180.7823792,94.89892578
Male,181.0816193,85.25936127
Male,181.4015808,94.90357208
Male,176.7385559,87.70988464
Male,180.571991,89.82533264
Male,170.9947662,74.06819916
Male,176.3432617,90.41903687
Female,159.0097351,53.12969208
Female,167.9079742,70.1233139
Female,160.1622162,58.24079132
Male,170.686554,78.6931076
Male,175.6585083,86.49803925
Female,166.912384,63.2093277
Male,164.7763367,73.62270355
Female,152.1907806,53.73410034
Female,162.1166077,60.8938942
Male,179.1310883,87.58627319
Female,175.4081573,79.25513458
Male,169.6121521,81.02069092
Female,171.2144165,73.23613739
Male,178.5724182,88.99057007
Female,163.0955963,71.76113129
Male,171.2322693,83.38806915
Female,162.8910675,55.01739502
Female,163.8823853,60.46125031
Female,161.4757843,58.31315231
Male,162.4159241,69.82927704
Female,165.0639496,64.08731842
Female,158.523819,57.61313629
Male,168.5092163,75.15998077
Male,157.7559509,66.11935425
Female,159.8547058,60.15384293
Male,182.737793,95.0531311
Female,161.1312408,61.24746704
Male,172.0208588,78.08718109
Male,187.349472,105.0559235
Male,169.3066559,76.20988464
Male,173.9801788,82.63681793
Female,168.7487793,58.67623138
Male,184.9568024,92.05566406
Female,159.6259766,59.48178482
Female,159.1822052,50.38533783
Male,176.1692657,91.14572144
Female,160.2080231,70.43296814
Female,166.8585052,79.28543854
Male,191.0231781,103.764595
Male,174.0493011,78.59424591
Female,156.2846832,57.52233887
Female,158.9514771,64.12666321
Male,165.6266632,68.88964844
Female,168.7050629,68.81797028
Male,174.7193146,85.25395966
Female,163.2070923,65.02874756
